Date,totalvar_ean10,totalvar_ean20,totalvar_ean30,totalvar_ean60,totalvar_ean90,totalvar_ean120,totalvar_ean150,totalvar_ean180,totalvar_ean270,totalvar_ean360,totalvar_ean720,totalvar_ean1080
2015-11-17,0.0009745194520547944,0.0021633802739726023,0.0034137895890410963,0.007016475616438356,0.014226420821917806,0.01834206246575342,0.02141954383561644,0.02629223506849315,0.039815013698630136,0.05354531506849315,0.10856645260273973,0.16298854027397258
2015-11-18,0.0008142947945205479,0.0019161095890410959,0.0029952994520547936,0.006347219178082192,0.013513021643835615,0.017482638904109588,0.020786305479452052,0.025635945205479453,0.03865657315068493,0.05231154082191781,0.10865902684931505,0.16396222684931505
2015-11-19,0.0008400002739726028,0.0019366575342465752,0.0030997512328767127,0.006714149589041095,0.013908390410958904,0.01760415123287671,0.020767824657534247,0.025613462465753422,0.03858896219178082,0.052356979726027396,0.10875164054794521,0.16424095561643834
2015-11-20,0.0007119298630136986,0.0017674608219178085,0.0028588150684931506,0.006470557808219177,0.013478409863013699,0.01686649315068493,0.01999905205479452,0.02478853479452055,0.03778224657534247,0.051497013698630134,0.10801183561643836,0.16340547945205477
2015-11-23,0.0007659134246575341,0.0016627747945205478,0.0025983156164383564,0.006250684931506849,0.012908081095890412,0.016378599452054797,0.019836201369863013,0.024523890410958905,0.03721597890410959,0.05082312328767123,0.1058075704109589,0.15953475945205478
2015-11-24,0.0008180778082191781,0.0017971073972602742,0.002704599452054795,0.006614853698630137,0.01313473315068493,0.016290660821917807,0.01990849726027397,0.024567899178082192,0.037382084383561644,0.05118197917808219,0.10690686246575343,0.16118795835616437
2015-11-25,0.0007806421917808219,0.0017674608219178085,0.002668934794520548,0.0066544832876712316,0.013180300273972602,0.0162467802739726,0.019926591780821918,0.024611947397260272,0.03751523506849315,0.05109214684931506,0.1061733698630137,0.16008487890410958
2015-11-27,0.0007751024657534245,0.0017419665753424655,0.002583722465753425,0.006727444931506849,0.012998505205479452,0.015999241643835614,0.019692004109589042,0.024567899178082192,0.0374486301369863,0.05109214684931506,0.10690686246575343,0.16132610958904112
2015-11-30,0.0010428495890410956,0.001980164931506849,0.0028435068493150683,0.00730465315068493,0.01331747506849315,0.016261400547945202,0.020035331506849312,0.02494356657534246,0.03764862246575342,0.05131687561643835,0.10856645260273973,0.1641015616438356
2015-12-01,0.0009195134246575342,0.0017911583561643833,0.0026041643835616433,0.006975780821917807,0.012862987397260271,0.015883410410958903,0.019674016438356163,0.024545889863013697,0.03705024328767123,0.05073360657534247,0.10764288,0.1628496789041096
2015-12-02,0.0009921668493150684,0.0018631978082191782,0.002734500821917808,0.007415960547945206,0.013570806575342466,0.016525689863013702,0.0203267506849315,0.025099081643835616,0.03791610739726027,0.05185823671232876,0.10626491835616438,0.15980970082191778
2015-12-03,0.001129013698630137,0.0020750224657534247,0.0030869950684931503,0.008028657534246576,0.014108212602739725,0.016985848767123286,0.02084179726027397,0.02592911835616438,0.039131506849315066,0.053453431232876714,0.11005237479452054,0.16549816438356163
